benchmark_id,Model,ROC,precision at rank n,execution time
wine_benchmark_0024,PCA,0.5433,0.4139,0.006
wine_benchmark_0024,LODA,0.5481,0.4161,0.038
wine_benchmark_0025,KNN,0.5428,0.4069,0.4014
wine_benchmark_0025,LOF,0.5502,0.415,0.3013
wine_benchmark_0025,PCA,0.5384,0.4158,0.006
wine_benchmark_0025,LODA,0.5391,0.4216,0.035
wine_benchmark_0026,KNN,0.5403,0.4217,0.3974
wine_benchmark_0026,LOF,0.5644,0.4303,0.3033
wine_benchmark_0026,PCA,0.5422,0.426,0.005
wine_benchmark_0026,LODA,0.5443,0.4253,0.036
wine_benchmark_0027,KNN,0.5533,0.4193,0.4064
wine_benchmark_0027,LOF,0.563,0.4122,0.3033
wine_benchmark_0027,PCA,0.5515,0.4186,0.006
wine_benchmark_0027,LODA,0.6053,0.4595,0.037
wine_benchmark_0028,KNN,0.5488,0.4238,0.4034
wine_benchmark_0028,LOF,0.5515,0.4195,0.3263
wine_benchmark_0028,PCA,0.5419,0.4288,0.006
wine_benchmark_0028,LODA,0.5702,0.4467,0.046
wine_benchmark_0029,KNN,0.5511,0.3992,0.4084
wine_benchmark_0029,LOF,0.558,0.3827,0.3458
wine_benchmark_0029,PCA,0.5463,0.4,0.006
wine_benchmark_0029,LODA,0.568,0.3906,0.047
wine_benchmark_0030,KNN,0.563,0.4225,0.4052
wine_benchmark_0030,LOF,0.5474,0.4165,0.3103
wine_benchmark_0030,PCA,0.5536,0.4335,0.006
wine_benchmark_0030,LODA,0.545,0.4202,0.034
wine_benchmark_0031,KNN,0.5363,0.3979,0.4144
wine_benchmark_0031,LOF,0.5469,0.395,0.3138
wine_benchmark_0031,PCA,0.5429,0.4105,0.006
wine_benchmark_0031,LODA,0.4991,0.3767,0.038
wine_benchmark_0032,KNN,0.5329,0.3886,0.4254
wine_benchmark_0032,LOF,0.5515,0.3962,0.3183
wine_benchmark_0032,PCA,0.5443,0.4174,0.006
wine_benchmark_0032,LODA,0.5927,0.4432,0.036
wine_benchmark_0033,KNN,0.5537,0.4252,0.4064
wine_benchmark_0033,LOF,0.5674,0.4328,0.3038
wine_benchmark_0033,PCA,0.5373,0.4198,0.006
wine_benchmark_0033,LODA,0.5648,0.4429,0.037
wine_benchmark_0034,KNN,0.5431,0.3996,0.4044
wine_benchmark_0034,LOF,0.5486,0.4048,0.3053
wine_benchmark_0034,PCA,0.5337,0.4055,0.005
wine_benchmark_0034,LODA,0.5204,0.3779,0.037
wine_benchmark_0035,KNN,0.556,0.4098,0.4039
wine_benchmark_0035,LOF,0.5562,0.418,0.3053
wine_benchmark_0035,PCA,0.5437,0.4165,0.006
wine_benchmark_0035,LODA,0.4767,0.3484,0.035
wine_benchmark_0036,KNN,0.5391,0.4226,0.4154
wine_benchmark_0036,LOF,0.549,0.4169,0.3168
wine_benchmark_0036,PCA,0.5338,0.4261,0.006
wine_benchmark_0036,LODA,0.5659,0.4482,0.035
wine_benchmark_0037,KNN,0.5595,0.4132,0.4227
wine_benchmark_0037,LOF,0.5624,0.4223,0.3391
wine_benchmark_0037,PCA,0.5568,0.4309,0.006
wine_benchmark_0037,LODA,0.5923,0.4627,0.038
wine_benchmark_0038,KNN,0.5543,0.4102,0.4194
wine_benchmark_0038,LOF,0.5576,0.4124,0.3293
wine_benchmark_0038,PCA,0.5395,0.4146,0.005
wine_benchmark_0038,LODA,0.5795,0.4353,0.0385
wine_benchmark_0039,KNN,0.55,0.4114,0.4454
wine_benchmark_0039,LOF,0.5554,0.4114,0.3553
wine_benchmark_0039,PCA,0.5454,0.418,0.006
wine_benchmark_0039,LODA,0.5006,0.3718,0.039
wine_benchmark_0040,KNN,0.55,0.4113,0.4094
wine_benchmark_0040,LOF,0.558,0.4157,0.3353
wine_benchmark_0040,PCA,0.5536,0.4288,0.006
wine_benchmark_0040,LODA,0.5909,0.4439,0.046
wine_benchmark_0041,KNN,0.5347,0.3901,0.4479
wine_benchmark_0041,LOF,0.5417,0.3868,0.3523
wine_benchmark_0041,PCA,0.5182,0.3845,0.006
wine_benchmark_0041,LODA,0.5362,0.3908,0.039
wine_benchmark_0042,KNN,0.5326,0.3961,0.4144
wine_benchmark_0042,LOF,0.549,0.3998,0.3103
wine_benchmark_0042,PCA,0.5235,0.3946,0.006
wine_benchmark_0042,LODA,0.5814,0.4243,0.038
wine_benchmark_0043,KNN,0.5207,0.3943,0.4374
wine_benchmark_0043,LOF,0.5505,0.4105,0.3393
wine_benchmark_0043,PCA,0.5258,0.4076,0.006
wine_benchmark_0043,LODA,0.5269,0.3988,0.039
wine_benchmark_0044,KNN,0.5348,0.4034,0.4264
wine_benchmark_0044,LOF,0.5535,0.4115,0.3432
wine_benchmark_0044,PCA,0.5213,0.3931,0.006
wine_benchmark_0044,LODA,0.5532,0.4277,0.035
wine_benchmark_0045,KNN,0.5402,0.404,0.4174
wine_benchmark_0045,LOF,0.5499,0.4165,0.3223
wine_benchmark_0045,PCA,0.5223,0.4025,0.006
wine_benchmark_0045,LODA,0.5185,0.3856,0.036
wine_benchmark_0046,KNN,0.5356,0.3898,0.4104
wine_benchmark_0046,LOF,0.5401,0.3861,0.3103
wine_benchmark_0046,PCA,0.5072,0.3883,0.005
wine_benchmark_0046,LODA,0.5115,0.3689,0.037
wine_benchmark_0047,KNN,0.5338,0.4052,0.4084
wine_benchmark_0047,LOF,0.5471,0.4135,0.3133
wine_benchmark_0047,PCA,0.5189,0.4016,0.006
wine_benchmark_0047,LODA,0.5335,0.4139,0.036
wine_benchmark_0048,KNN,0.5347,0.4143,0.4174
wine_benchmark_0048,LOF,0.5483,0.4277,0.3143
wine_benchmark_0048,PCA,0.5115,0.4073,0.006
wine_benchmark_0048,LODA,0.4505,0.3448,0.04
wine_benchmark_0049,KNN,0.5323,0.3922,0.4284
wine_benchmark_0049,LOF,0.5509,0.4064,0.3263
wine_benchmark_0049,PCA,0.5217,0.3877,0.005
wine_benchmark_0049,LODA,0.5832,0.4281,0.036
wine_benchmark_0050,KNN,0.5249,0.3978,0.4129
wine_benchmark_0050,LOF,0.5441,0.4041,0.3043
wine_benchmark_0050,PCA,0.5161,0.3953,0.005
wine_benchmark_0050,LODA,0.573,0.4419,0.037
wine_benchmark_0051,KNN,0.5393,0.3959,0.4184
wine_benchmark_0051,LOF,0.5423,0.3883,0.3233
wine_benchmark_0051,PCA,0.5206,0.3808,0.005
wine_benchmark_0051,LODA,0.4242,0.2916,0.037
wine_benchmark_0052,KNN,0.5294,0.3937,0.4194
wine_benchmark_0052,LOF,0.5315,0.3901,0.3113
wine_benchmark_0052,PCA,0.5192,0.4025,0.006
wine_benchmark_0052,LODA,0.4996,0.3806,0.037
wine_benchmark_0053,KNN,0.5345,0.4094,0.4234
wine_benchmark_0053,LOF,0.5557,0.4131,0.3153
wine_benchmark_0053,PCA,0.5272,0.3982,0.006
wine_benchmark_0053,LODA,0.5746,0.4251,0.05
wine_benchmark_0054,KNN,0.535,0.39,0.4384
wine_benchmark_0054,LOF,0.5501,0.4094,0.3063
wine_benchmark_0054,PCA,0.5193,0.386,0.006
wine_benchmark_0054,LODA,0.5429,0.3935,0.037
wine_benchmark_0055,KNN,0.5254,0.4088,0.4344
wine_benchmark_0055,LOF,0.554,0.425,0.3163
wine_benchmark_0055,PCA,0.514,0.4109,0.005
wine_benchmark_0055,LODA,0.4982,0.3815,0.035
wine_benchmark_0056,KNN,0.5341,0.3957,0.4164
wine_benchmark_0056,LOF,0.5503,0.3987,0.3128
wine_benchmark_0056,PCA,0.5274,0.4039,0.006
