benchmark_id,Model,ROC,precision at rank n,execution time
imgseg_benchmark_0023,LOF,0.5056,0.4511,0.0587
imgseg_benchmark_0023,PCA,0.6525,0.5469,0.003
imgseg_benchmark_0023,LODA,0.3649,0.2615,0.022
imgseg_benchmark_0024,KNN,0.4981,0.4004,0.1011
imgseg_benchmark_0024,LOF,0.5088,0.4418,0.0536
imgseg_benchmark_0024,PCA,0.6547,0.5464,0.003
imgseg_benchmark_0024,LODA,0.5777,0.5187,0.02
imgseg_benchmark_0025,KNN,0.5006,0.4111,0.1011
imgseg_benchmark_0025,LOF,0.4953,0.4289,0.052
imgseg_benchmark_0025,PCA,0.6647,0.5514,0.003
imgseg_benchmark_0025,LODA,0.6602,0.5692,0.022
imgseg_benchmark_0026,KNN,0.4954,0.4155,0.1011
imgseg_benchmark_0026,LOF,0.5164,0.4621,0.051
imgseg_benchmark_0026,PCA,0.6477,0.5476,0.003
imgseg_benchmark_0026,LODA,0.3986,0.3417,0.023
imgseg_benchmark_0027,KNN,0.4956,0.4016,0.0961
imgseg_benchmark_0027,LOF,0.5141,0.4458,0.05
imgseg_benchmark_0027,PCA,0.6449,0.5301,0.003
imgseg_benchmark_0027,LODA,0.5763,0.499,0.02
imgseg_benchmark_0028,KNN,0.4597,0.3864,0.0982
imgseg_benchmark_0028,LOF,0.4898,0.4466,0.0505
imgseg_benchmark_0028,PCA,0.6434,0.5495,0.003
imgseg_benchmark_0028,LODA,0.3062,0.2796,0.021
imgseg_benchmark_0029,KNN,0.493,0.4208,0.1071
imgseg_benchmark_0029,LOF,0.4674,0.4286,0.054
imgseg_benchmark_0029,PCA,0.6443,0.5367,0.003
imgseg_benchmark_0029,LODA,0.5443,0.5212,0.019
imgseg_benchmark_0030,KNN,0.477,0.391,0.1021
imgseg_benchmark_0030,LOF,0.4915,0.4277,0.053
imgseg_benchmark_0030,PCA,0.6414,0.5275,0.003
imgseg_benchmark_0030,LODA,0.4388,0.3849,0.022
imgseg_benchmark_0031,KNN,0.4526,0.3818,0.1051
imgseg_benchmark_0031,LOF,0.4966,0.4516,0.051
imgseg_benchmark_0031,PCA,0.6447,0.5465,0.003
imgseg_benchmark_0031,LODA,0.3995,0.3837,0.019
imgseg_benchmark_0032,KNN,0.4954,0.3906,0.0971
imgseg_benchmark_0032,LOF,0.4901,0.4286,0.051
imgseg_benchmark_0032,PCA,0.6735,0.5571,0.003
imgseg_benchmark_0032,LODA,0.698,0.5959,0.02
imgseg_benchmark_0033,KNN,0.4963,0.4261,0.1031
imgseg_benchmark_0033,LOF,0.492,0.4144,0.054
imgseg_benchmark_0033,PCA,0.6537,0.5545,0.003
